Synereo,,-33.03%,+4.39%,,,"484,661.43 USD"
Clams,,,+1.14%,,,"456,698.67 USD"
Expanse,,-0.59%,+22.47%,,,"438,964.49 USD"
,,-0.6%,,,,"436,757.2 USD"
BitConnect,,-2.35%,+14.09%,,,"432,358.73 USD"
Signatum,,-20.27%,+8.24%,"$ 6,792,532",,"422,807.88 USD"
Nexus,,-1.52%,,,,"416,282.12 USD"
Legendarycoin,,,+2.24%,,,"414,744.01 USD"
district0x,,,+6.29%,,,"407,295.98 USD"
ZeroCoin,,-27.65%,+8.08%,,,"406,265.06 USD"
Particl,,-1.24%,,,,"395,143.91 USD"
Einsteinium,,-4.13%,,,,"387,326.75 USD"
Aragon,,-38.6%,+1.24%,,,"385,156.19 USD"
DT Token,,-11.87%,+58.34%,,,"382,096.09 USD"
Viacoin,,-3.43%,,,,"376,424.16 USD"
Chronobank,,-5.27%,+1.83%,,,"370,477.08 USD"
iEx.ec,,,+17.68%,,,"366,774.8 USD"
0xproject,,,+66.17%,,,"364,595.49 USD"
Komodo,,-17.91%,+2.93%,,,"358,305.59 USD"
Zencash,,,+8.26%,,,"340,304.86 USD"
EvergreenCoin,,,+0.93%,,,"332,400.86 USD"
BURSTCoin,,-1.5%,,,,"329,764.18 USD"
SingularDTV,,-1.21%,,,,"323,504.83 USD"
BlockNet,,-5.38%,,"$ 136,711,911",,"306,819.91 USD"
ETP,,-28.48%,+0.98%,,,"300,057.05 USD"
ParkByte,,,+3.12%,,,"268,846.43 USD"
Monacoin,,-5.15%,+0.76%,,,"265,641.63 USD"
Magi,,,+5.15%,,,"263,232.18 USD"
IOcoin,,-11.51%,+13.45%,"$ 34,263,382",,"261,293.37 USD"
Cloakcoin,,-0.23%,+32.66%,,,"260,708.76 USD"
Circuits of Value,,,+5.13%,,,"253,051.3 USD"
Counterparty,,,+1.26%,,,"251,018.96 USD"
BitcoinPlus,,-0.93%,,,,"247,349.88 USD"
EroBitCoin_,,,+2.02%,,,"239,561.22 USD"
NeosCoin,,-8.4%,+7.29%,,,"235,467.45 USD"
Mothership,,,+8.25%,,,"227,855.08 USD"
Nautiluscoin,,-6.29%,,,,"221,803.3 USD"
FirstCoin,,,+1.72%,,,"221,380.47 USD"
Bellacoin,,-2.13%,,,,"219,284.53 USD"
EmerCoin,,-21.56%,+2.72%,,,"216,353.81 USD"
AndroidsTokens,,-2.03%,,,,"216,287.16 USD"
FoldingCoin,,-22.75%,+0.57%,,,"212,778.4 USD"
Trustcoin,,-28.18%,+5.57%,,,"211,834.99 USD"
Cryptonite,,-27.52%,+21.17%,,,"209,507.74 USD"
Guppy,,,+2.22%,,,"201,828.2 USD"
Stealthcoin,,,+13.75%,,,"191,079.26 USD"
Humaniq,,-9.14%,,,,"188,321.74 USD"
,,-3.49%,+21.4%,,,"183,982.58 USD"
Guldencoin,,,+11.39%,,,"183,259.77 USD"
OpenANX,,,+14.48%,,,"180,058.51 USD"
Blackcoin,,-23.49%,+3.09%,"$ 15,544,297",,"179,646.89 USD"
Radium,,-4.74%,+7.25%,,,"167,370.29 USD"
Polybius Token,,,+8.14%,,,"158,511.19 USD"
Megacoin,,-4.57%,,"$ 4,590,269",,"155,242.94 USD"
OMNI,,-8.55%,,,,"153,923.39 USD"
Xaurum,,-10.18%,+2.21%,,,"151,872.28 USD"
InPay,,-2.76%,+8.94%,,,"148,659.54 USD"
Voxels,,-8.73%,,,,"148,323.37 USD"
Bytecent,,,+7.04%,,,"146,056.4 USD"
Navajocoin,,-19.42%,+0.5%,,,"142,882.69 USD"
Rise,,,+4.01%,,,"139,706.73 USD"
Bata,,-6.18%,+9.16%,,,"138,268.55 USD"
Memetic,,-11.32%,+14.69%,,,"137,307.54 USD"
Verium,,,+6.67%,,,"134,646.78 USD"
Peercoin,,-14.73%,+1.08%,"$ 37,171,974",,"131,149.45 USD"
Melon,,-10.04%,+0.52%,,,"127,893.56 USD"
Nexium,,-2.9%,+2.18%,,,"126,238.39 USD"
BitBay,,-22.8%,,,,"123,842.81 USD"
CreditBit,,-4.46%,+6.5%,,,"123,052.53 USD"
Blakecoin,,,+11.73%,,,"121,196.31 USD"
BitCrystals,,-1.16%,,,,"120,438.73 USD"
CryptoPing,,,+8.89%,,,"119,074 USD"
Cannabiscoin,,-8.63%,,"$ 1,976,135",,"114,238.85 USD"
Project Decorum,,-1.55%,+55.91%,,,"112,512.78 USD"
Databits,,-6.59%,+2.65%,,,"109,284.08 USD"
Nubits,,-0.83%,+0.55%,,,"106,710.97 USD"
,,,+15.51%,,,"106,367.02 USD"
DigixDAO,,-13.31%,+0.57%,,,"105,887.13 USD"
Lomocoin,,-0.14%,,,,"104,162.8 USD"
Sphere,,-6.73%,+2.79%,,,"103,428.93 USD"
ExodusCoin,,-15.85%,+7.92%,,,"103,398.49 USD"
Namecoin,,-1.35%,,"$ 23,357,802",,"99,029.35 USD"
BitBean,,-15.15%,+8.3%,,,"96,739.86 USD"
AppleByte,,-0.16%,,,,"94,785.45 USD"
Primecoin,,-18.8%,+0.31%,,,"92,426.7 USD"
Fincoin,,-17.87%,+0.92%,,,"87,823.79 USD"
Groestl,,-22.93%,+0.73%,"$ 6,101,403",,"86,844.16 USD"
PieCoinTech,,,+12.94%,,,"86,425.86 USD"
NoLimitCoin 2.0,,-15.04%,+7.69%,,,"85,867.95 USD"
Musicoin,,-2.23%,,,,"85,724.68 USD"
Golos,,-0.54%,+0.82%,,,"85,376.42 USD"
BitSwift,,-4.76%,+64.5%,"$ 4,421,541",,"83,168.85 USD"
Incent,,,+2.1%,,,"82,389.43 USD"
Ion,,-15.48%,+1.3%,,,"81,165.45 USD"
YBcoin,,-20.08%,+136.05%,"$ 49,302",,"81,110.85 USD"
AmsterdamCoin,,,+0.06%,,,"80,657.48 USD"
Vericoin,,-15.27%,+1.71%,,,"78,112.32 USD"
Curecoin,,,+11.85%,,,"77,779.86 USD"
Pinkcoin,,-1.33%,,,,"76,640.48 USD"
Pesetacoin,,-8.88%,+3.39%,,,"74,725.53 USD"
Sequence,,,+3.04%,,,"74,160.92 USD"
Apx,,-0.49%,+18.05%,,,"72,595.59 USD"
BitcoinDark,,-2.29%,,,,"71,868.11 USD"
Dubaicoin,,-1.81%,,,,"69,798.94 USD"
Feathercoin,,-5.13%,+5.92%,"$ 9,354,711",,"69,680.42 USD"
Minex,,-20.78%,,,,"68,795.89 USD"
TOA Coin,,-14%,+7.08%,,,"67,261.16 USD"
E-Coin,,-8.03%,+0.76%,,,"67,023.02 USD"
Dopecoin,,,+11.57%,,,"64,215.03 USD"
vTorrent,,-2.01%,,,,"64,073.12 USD"
PascalCoin,,-0.65%,,"$ 4,669,824",,"63,904.3 USD"
SibCoin,,-4%,,,,"63,031.43 USD"
SoarCoin,,-13.03%,+13.24%,,,"61,586.25 USD"
Tokes,,,+4.42%,,,"59,900.15 USD"
Riecoin,,-4.9%,,,,"58,357.45 USD"
Huntercoin,,-7.96%,,,,"58,269.91 USD"
Gridcoin,,-1.52%,,,,"57,479.42 USD"
Florincoin,,-1.2%,,,,"54,509.69 USD"
SteemDollars,,-3.87%,+4.11%,,,"54,360.87 USD"
Quarkcoin,,-6.89%,,"$ 5,217",,"53,444.27 USD"
First Bitcoin Capital,,,+76.67%,,,"53,298.69 USD"
FairCoin,,,+9.41%,,,"52,235.66 USD"
,,-2.13%,+24.83%,,,"51,114.04 USD"
GlobalTradeCoin,,-74.6%,,,,"51,023.52 USD"
Worldcoin,,,+8.71%,,,"49,995.29 USD"
investFeed,,-44.74%,+8.66%,,,"49,962.38 USD"
Dynamic,,,+4.53%,,,"48,292.35 USD"
Diamond,,-3.67%,+1.44%,,,"48,042.94 USD"
Europecoin,,-1%,,,,"47,898.66 USD"
StaxCoin,,-13.02%,,,,"47,292.13 USD"
Rubycoin,,,+6.52%,"$ 13,020,923",,"45,523.61 USD"
LEOcoin,,-7.7%,+5.81%,,,"45,034.11 USD"
Vcash,,,+6.52%,,,"44,850.19 USD"
,,,+95.86%,,,"44,474.06 USD"
Netcoin,,-16.58%,,,,"43,893.23 USD"
Darcrus,,-0.35%,,,,"43,850.67 USD"
Myriad,,-4.84%,+5.05%,,,"43,595.31 USD"
PoSWCoin,,-37.37%,+20.49%,,,"42,999.69 USD"
Energycoin,,-11.37%,+1.64%,,,"42,317.79 USD"
SpreadCoin,,-3.17%,,,,"41,811.22 USD"
Breakout Stake,,,+5.34%,,,"41,349.62 USD"
Zclassic,,-1.78%,,,,"40,425.77 USD"
Swarm City Token,,-26.38%,+0.97%,,,"39,140.41 USD"
AppleCoin,,,+0.67%,,,"37,802.76 USD"
BitSend,,-2.6%,,,,"36,441.78 USD"
Growers Intl,,,+2.47%,,,"35,109.89 USD"
Condensate,,,+2.21%,,,"35,025.42 USD"
Breakout,,,+12.16%,,,"35,019.57 USD"
SpectreCoin,,,+20.58%,,,"34,458.35 USD"
Blitzcoin,,-0.14%,,,,"34,357.32 USD"
,,,+4.19%,,,"34,246.11 USD"
,,-3.63%,+226.3%,,,"33,965.02 USD"
DNote,,-4.82%,,,,"33,547.23 USD"
Auroracoin,,,+2.78%,"$ 10,139,135",,"32,616.66 USD"
Tagcoin,,-21.46%,,,,"32,259.97 USD"
,,,+62.65%,,,"29,700.5 USD"
Fastcoin,,-0.74%,,,,"29,378.38 USD"
Fermat,,,+5.5%,,,"29,373.34 USD"
Startcoin,,-4.9%,+0.74%,,,"27,589.2 USD"
HiCoin,,-11.02%,+9.24%,,,"27,442.58 USD"
2GIVE,,-1.79%,,,,"27,357.65 USD"
Boolberry_,,,+11.42%,,,"26,831.19 USD"
